Code;uulib;Quality;displayed error;Quality
"clientName : Client [*-1..1] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before "":"" at line 14, column 12 of file ""testfile_mba.adl""
Expecting ""::""
Try deleting symbol "":"" at line 14, column 12 of file ""testfile_mba.adl""

==============================

before upper case identifier Client at line 14, column 14 of file ""testfile_mba.
adl""
Expecting ""::""
Try inserting symbol ""::""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 12):
unexpected Operator ':'
expecting Operator '::'";
RELATION RelTest [RelationCR];"Error(s) found:

before upper case identifier RelTest at line 29, column 10 of file ""testfile_mba
.adl""
Expecting lower case identifier ?lc?
Try deleting symbol upper case identifier RelTest at line 29, column 10 of file
""testfile_mba.adl""

==============================

before symbol [ at line 29, column 18 of file ""testfile_mba.adl""
Expecting lower case identifier ?lc?
Try inserting symbol lower case identifier ?lc?";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 29, column 10):
unexpected Upper case identifier RelTest";
RELATION relTest [relationCR];"Error(s) found:

before lower case identifier relationCR at line 29, column 19 of file ""testfile_
mba.adl""
Expecting upper case identifier ?uc? or ""ONE"" or string """"
Try deleting symbol lower case identifier relationCR at line 29, column 19 of fi
le ""testfile_mba.adl""

==============================

before symbol ] at line 29, column 29 of file ""testfile_mba.adl""
Expecting upper case identifier ?uc? or ""ONE"" or string """"
Try inserting symbol ""ONE""
";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 29, column 19):
unexpected Lower case identifier relationCR
expecting Keyword ""ONE""";
RELATION relTest [ONNE];warning useful?;;;
RELATION relTest [ONE-ONNE];"Error(s) found:

before ""-"" at line 19, column 22 of file ""testfile_mba.adl""
Expecting symbol ] or ""*""
Try deleting symbol ""-"" at line 19, column 22 of file ""testfile_mba.adl""

==============================

before upper case identifier ONNE at line 19, column 23 of file ""testfile_mba.ad
l""
Expecting symbol ]
Try deleting symbol upper case identifier ONNE at line 19, column 23 of file ""te
stfile_mba.adl""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 19, column 22):
unexpected Operator '-'
expecting Operator '*' or Symbol ']'";
"clientName :: client [*-1..1] Name =
    [ (""Client_1""      , ""Martijn"")
    ; (""Client_2""      , ""Stef"")
    ]";"Error(s) found:

before lower case identifier client at line 27, column 15 of file ""testfile_mba.
adl""
Expecting upper case identifier ?uc? or string """"
Try deleting symbol lower case identifier client at line 27, column 15 of file ""
testfile_mba.adl""

==============================

before symbol [ at line 27, column 22 of file ""testfile_mba.adl""
Expecting upper case identifier ?uc? or string """"
Try inserting symbol upper case identifier ?uc?";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 14, column 15):
unexpected Lower case identifier client";
"""clientName :: client [*-1..1] Name =
    [ (""""Client_1""""      , """"Martijn"""")
    ; (""""Client_2""""      , """"Stef"""")
    ]""";"Error(s) found:

before error in scanner: Unterminated string literal at line 27, column 1 of fil
e ""testfile_mba.adl""
Expecting lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT""
or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPL
UG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC""
or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try deleting symbol error in scanner: Unterminated string literal at line 27, co
lumn 1 of file ""testfile_mba.adl""

==============================

before symbol [ at line 28, column 5 of file ""testfile_mba.adl""
Expecting lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT""
or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPL
UG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC""
or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try deleting symbol symbol [ at line 28, column 5 of file ""testfile_mba.adl""

==============================

before symbol ( at line 28, column 7 of file ""testfile_mba.adl""
Expecting lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT""
or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPL
UG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC""
or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try deleting symbol symbol ( at line 28, column 7 of file ""testfile_mba.adl""

==============================

before string """" at line 28, column 8 of file ""testfile_mba.adl""
Expecting lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT""
or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPL
UG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC""
or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try deleting symbol string """" at line 28, column 8 of file ""testfile_mba.adl""

==============================

before upper case identifier Client_1 at line 28, column 10 of file ""testfile_mb
a.adl""
Expecting lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT""
or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPL
UG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC""
or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try deleting symbol upper case identifier Client_1 at line 28, column 10 of file
 ""testfile_mba.adl""

==============================

before string """" at line 28, column 18 of file ""testfile_mba.adl""
Expecting lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT""
or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPL
UG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC""
or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try inserting symbol ""THEMES""

==============================

before upper case identifier Martijn at line 28, column 30 of file ""testfile_mba
.adl""
Expecting symbol , or lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""
ENDCONTEXT"" or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTER
N"" or ""PHPPLUG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE
"" or ""SPEC"" or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try inserting symbol ""PATTERN""

==============================

before string """" at line 28, column 37 of file ""testfile_mba.adl""
Expecting ""ENDPATTERN"" or (lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT""
 or ""IDENT"" or ""KEY"" or ""POPULATION"" or ""PURPOSE"" or ""RELATION"" or ""ROLE"" or ""RU
LE"" or ""SPEC"" or ""VIEW"" ...)*
Try inserting symbol ""ENDPATTERN""

==============================

before string """" at line 28, column 37 of file ""testfile_mba.adl""
Expecting lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT""
or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPL
UG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC""
or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try inserting symbol ""RULE""

==============================

before symbol ) at line 28, column 39 of file ""testfile_mba.adl""
Expecting "":""
Try deleting symbol symbol ) at line 28, column 39 of file ""testfile_mba.adl""

==============================

before "";"" at line 29, column 5 of file ""testfile_mba.adl""
Expecting "":""
Try inserting symbol "":""

==============================

before "";"" at line 29, column 5 of file ""testfile_mba.adl""
Expecting symbol ( or lower case identifier ?LC? or ""I"" or ""V"" or atom '' or (""-
"" ...)*
Try inserting symbol lower case identifier ?LC?

==============================

before string """" at line 29, column 8 of file ""testfile_mba.adl""
Expecting symbol ( or lower case identifier ?LC? or ""I"" or ""V"" or atom '' or (""-
"" ...)*
Try deleting symbol string """" at line 29, column 8 of file ""testfile_mba.adl""

==============================

before upper case identifier Client_2 at line 29, column 10 of file ""testfile_mb
a.adl""
Expecting symbol ( or lower case identifier ?LC? or ""I"" or ""V"" or atom '' or (""-
"" ...)*
Try deleting symbol upper case identifier Client_2 at line 29, column 10 of file
 ""testfile_mba.adl""

==============================

before string """" at line 29, column 18 of file ""testfile_mba.adl""
Expecting symbol ( or lower case identifier ?LC? or ""I"" or ""V"" or atom '' or (""-
"" ...)*
Try inserting symbol lower case identifier ?LC?

==============================

before string """" at line 29, column 18 of file ""testfile_mba.adl""
Expecting symbol ) or symbol [ or ""!"" or ""#"" or ""-"" or ""/"" or ""/\\"" or "";"" or ""<
>"" or ""\\"" or ""\\/"" or (""*"" or ""+"" or ""~"" ...)*
Try inserting symbol symbol )

==============================

before string """" at line 29, column 18 of file ""testfile_mba.adl""
Expecting lower case identifier ?lc? or ""-"" or ""/"" or ""/\\"" or "";"" or ""<>"" or ""=
"" or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT"" or ""IDENT"" or ""INCLUDE"" or ""INTERFA
CE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPLUG"" or ""POPULATION"" or ""PROCESS"" or
 ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC"" or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
or ""VIOLATION"" or ""\\"" or ""\\/"" or ""|-"" or (""*"" or ""+"" or ""~"" ...)* or (""MEANING
"" ...)* or (""MESSAGE"" ...)*
Try inserting symbol ""THEMES""

==============================

before upper case identifier Stef at line 29, column 30 of file ""testfile_mba.ad
l""
Expecting symbol , or lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""
ENDCONTEXT"" or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTER
N"" or ""PHPPLUG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE
"" or ""SPEC"" or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try inserting symbol ""PATTERN""

==============================

before string """" at line 29, column 34 of file ""testfile_mba.adl""
Expecting ""ENDPATTERN"" or (lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT""
 or ""IDENT"" or ""KEY"" or ""POPULATION"" or ""PURPOSE"" or ""RELATION"" or ""ROLE"" or ""RU
LE"" or ""SPEC"" or ""VIEW"" ...)*
Try inserting symbol ""ENDPATTERN""

==============================

before string """" at line 29, column 34 of file ""testfile_mba.adl""
Expecting lower case identifier ?lc? or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT""
or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPL
UG"" or ""POPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC""
or ""SQLPLUG"" or ""THEMES"" or ""VIEW""
Try inserting symbol ""RULE""

==============================

before symbol ) at line 29, column 36 of file ""testfile_mba.adl""
Expecting "":""
Try inserting symbol "":""

==============================

before symbol ) at line 29, column 36 of file ""testfile_mba.adl""
Expecting symbol ( or lower case identifier ?LC? or ""I"" or ""V"" or atom '' or (""-
"" ...)*
Try deleting symbol symbol ) at line 29, column 36 of file ""testfile_mba.adl""

==============================

before symbol ] at line 30, column 5 of file ""testfile_mba.adl""
Expecting symbol ( or lower case identifier ?LC? or ""I"" or ""V"" or atom '' or (""-
"" ...)*
Try deleting symbol symbol ] at line 30, column 5 of file ""testfile_mba.adl""

==============================

before error in scanner: Unterminated string literal at line 30, column 6 of fil
e ""testfile_mba.adl""
Expecting symbol ( or lower case identifier ?LC? or ""I"" or ""V"" or atom '' or (""-
"" ...)*
Try deleting symbol error in scanner: Unterminated string literal at line 30, co
lumn 6 of file ""testfile_mba.adl""

==============================

before ""::"" at line 34, column 15 of file ""testfile_mba.adl""
Expecting symbol [ or lower case identifier ?lc? or ""!"" or ""#"" or ""-"" or ""/"" or
""/\\"" or "";"" or ""<>"" or ""="" or ""CLASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT"" or ""IDENT
"" or ""INCLUDE"" or ""INTERFACE"" or ""KEY"" or ""META"" or ""PATTERN"" or ""PHPPLUG"" or ""P
OPULATION"" or ""PROCESS"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC"" or ""SQLPL
UG"" or ""THEMES"" or ""VIEW"" or ""VIOLATION"" or ""\\"" or ""\\/"" or ""|-"" or (""*"" or ""+""
 or ""~"" ...)* or (""MEANING"" ...)* or (""MESSAGE"" ...)*
Try inserting symbol lower case identifier ?lc?
";Good;"PE Lexer error LexerError line 27:1, file ArchitectureAndDesign/Syntax/testfile_mba.adl (NonTerminatedChar (Just ""clientName :: client [*-1..1] Name =\r""))";
RELATION relTest [ONE*ONE]];"Error(s) found:

before symbol ] at line 19, column 27 of file ""testfile_mba.adl""
Expecting symbol [ or lower case identifier ?lc? or ""."" or ""="" or ""BYPLUG"" or ""C
LASSIFY"" or ""CONCEPT"" or ""ENDCONTEXT"" or ""IDENT"" or ""INCLUDE"" or ""INTERFACE"" or
""KEY"" or ""META"" or ""PATTERN"" or ""PHPPLUG"" or ""POPULATION"" or ""PRAGMA"" or ""PROCES
S"" or ""PURPOSE"" or ""RELATION"" or ""RULE"" or ""SPEC"" or ""SQLPLUG"" or ""THEMES"" or ""V
IEW"" or (""MEANING"" ...)*
Try deleting symbol symbol ] at line 19, column 27 of file ""testfile_mba.adl""";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 19, column 27):
unexpected Symbol ']'
expecting Keyword ""META"", Keyword ""PATTERN"", Keyword ""PROCESS"", Keyword ""RULE"", Keyword ""CLASSIFY"", Keyword ""RELATION"", Keyword ""CONCEPT"", Keyword ""SPEC"", Keyword ""IDENT"", Keyword ""VIEW"", Keyword ""KEY"", Keyword ""INTERFACE"", Keyword ""SQLPLUG"", Keyword ""PHPPLUG"", Keyword ""PURPOSE"", Keyword ""POPULATION"", Keyword ""THEMES"", Keyword ""INCLUDE"" or Keyword ""ENDCONTEXT""
";
RELATION relTest [[ONE*ONE];"Error(s) found:

before symbol [ at line 19, column 19 of file ""testfile_mba.adl""
Expecting upper case identifier ?uc? or ""ONE"" or string """"
Try deleting symbol symbol [ at line 19, column 19 of file ""testfile_mba.adl""
";Good;"PE ""ArchitectureAndDesign/Syntax/testfile_mba.adl"" (line 19, column 19):
unexpected Symbol '['
expecting Keyword ""ONE""";
VIEW;Not yet in ebnf;;;
